Time (s),Altitude (m),Velocity (m/s),Acceleration (m/sý)
0.1,0.1992307972972973,1.992307972972973,19.92307972972973
0.2,0.5976796193174849,3.9844882202018757,19.921802472289027
0.30000000000000004,1.195308153566856,5.976285342493709,19.917971222918332
0.4,1.99205256749579,7.96744413928934,19.911587967956304
0.5,2.987823544367002,9.957709768712116,19.902656294227757
0.6,4.182506335084961,11.946827907179587,19.891181384674717
0.7,5.575960825921392,13.934544908364309,19.877170011847205
0.7999999999999999,7.168021622050503,15.920607961291115,19.86063052926806
0.8999999999999999,8.958498146786525,17.904765247360217,19.841572860691027
0.9999999999999999,10.94717475639531,19.886766096087843,19.820008487276276
1.0999999999999999,13.133810870331216,21.86636113935906,19.795950432712164
1.2,15.518141116730291,23.84330246399075,19.7694132463169
1.3,18.09987549297095,25.817343762406562,19.740412984158127
1.4000000000000001,20.878699541093937,27.788240481229867,19.708967188233032
1.5000000000000002,23.854274537854483,29.755749967605453,19.675094863755852
1.6000000000000003,27.026237699161065,31.719631613065822,19.63881645460367
1.7000000000000004,30.3942023986374,33.67964699476336,19.60015381697536
1.8000000000000005,33.95775840002696,35.635560013895606,19.55913019132246
1.9000000000000006,37.716472103142664,37.58713703115701,19.515770172614076
2.0000000000000004,41.66988680304838,39.53414699905715,19.470099679001347
2.1000000000000005,45.8175229621436,41.47636159095217,19.42214591895025
2.2000000000000006,50.15887849480796,43.413555326643596,19.371937356914245
2.3000000000000007,54.69342906424853,45.34550569440569,19.319503677620943
2.400000000000001,59.42062839117959,47.27199326931065,19.26487574904959
2.500000000000001,64.04261127665514,46.21982885475548,-10.521644145551726
2.600000000000001,68.55969549716944,45.17084220514304,-10.489866496124355
2.700000000000001,72.97219048716688,44.124949899974446,-10.458923051685911
2.800000000000001,77.28039744655695,43.08206959390064,-10.428803060738034
2.9000000000000012,81.48460944482838,42.042119982714304,-10.399496111863355
3.0000000000000013,85.58511152184275,41.00502077014371,-10.370992125705964
3.1000000000000014,89.58218078538452,39.97069263541781,-10.343281347258936
3.2000000000000015,93.47608650554182,38.93905720157298,-10.316354338448303
3.3000000000000016,97.26709020598908,37.91003700447264,-10.290201971003375
3.4000000000000017,100.95544575224031,36.88355546251226,-10.264815419603778
3.5000000000000018,104.54139943693859,35.85953684698286,-10.240186155294017
3.600000000000002,108.02519006224531,34.83790625306718,-10.216305939156793
3.700000000000002,111.40704901938966,33.81858957144351,-10.193166816236683
3.800000000000002,114.68720036543695,32.80151346047288,-10.170761109706243
3.900000000000002,117.86586089733157,31.786605318946194,-10.149081415266886
4.000000000000002,120.94324022326842,30.773793259368464,-10.128120595777306
4.100000000000001,123.91954083144424,29.763006081758213,-10.107871776102495
4.200000000000001,126.7949581562383,28.754173247940532,-10.088328338176831
4.300000000000001,129.5696806418696,27.747224856313046,-10.069483916274867
4.4,132.24388980357608,26.742091617064652,-10.051332392483934
4.5,134.8177602863588,25.738704827827373,-10.033867892372797
4.6,137.29145992133303,24.736996349742274,-10.017084780851002
4.699999999999999,139.6651497797251,23.736898583920897,-10.00097765821375
4.799999999999999,141.93898422455354,22.73834444828416,-9.985541356367396
4.899999999999999,144.11311096002964,21.741267354761064,-9.97077093523095
4.999999999999998,146.18767107871267,20.745601186830143,-9.956661679309189
5.099999999999998,148.16279910645136,19.751280277386826,-9.943209094433165
5.1999999999999975,150.0386230451434,18.75823938692041,-9.930408904664189
5.299999999999997,151.81526441334185,17.766413681984652,-9.918257049357566
5.399999999999997,153.49283828473648,16.775738713946403,-9.906749680382504
5.4999999999999964,155.07145332453618,15.786150397996911,-9.895883159494925
5.599999999999996,156.55121182377727,14.797584992410911,-9.885654055860003
5.699999999999996,157.93220973158114,13.809979078038761,-9.876059143721506
5.799999999999995,159.21453668538285,12.823269538017245,-9.867095400215163
5.899999999999995,160.39827603915134,11.837393537684894,-9.85876000332351
5.999999999999995,161.48350488962012,10.852288504687918,-9.85105032996976
6.099999999999994,162.47029410054643,9.867892109263071,-9.843963954248478
6.199999999999994,163.35870832501482,8.88414224468397,-9.837498645791008
6.299999999999994,164.14880602580058,7.900977007857598,-9.83165236826371
6.399999999999993,164.84063949380638,6.918334680057872,-9.82642327799726
6.499999999999993,165.43425486458472,5.936153707783331,-9.821809722745414
6.5999999999999925,165.92969213295734,4.954372683726149,-9.817810240571822
6.699999999999992,166.32698516574132,3.972930327839797,-9.814423558863517
6.799999999999992,166.6261617125906,2.991765468492794,-9.811648593470029
6.8999999999999915,166.8272434149602,2.010817023696092,-9.809484447967018
6.999999999999991,166.93024581319938,1.0300239823917257,-9.807930413043664
7.099999999999991,166.93517835177843,0.049325385790426335,-9.806985966012993
7.19999999999999,166.84204438265303,-0.9313396912540394,-9.806650770444657
7.29999999999999,166.65084116676843,-1.9120321588460039,-9.806924675919644
7.39999999999999,166.36155987370475,-2.8928129306366728,-9.807807717906687
7.499999999999989,165.9741855794635,-3.873742942412688,-9.809300117760152
7.599999999999989,165.48869726239383,-4.854883170696629,-9.811402282839417
7.699999999999989,164.90506779725666,-5.836294651371613,-9.814114806749838
7.799999999999988,164.22326394742245,-6.81803849834217,-9.817438469705568
7.899999999999988,163.44324635519808,-7.800175922243628,-9.821374239014585
7.999999999999988,162.56496953027687,-8.782768249212278,-9.825923269686502
8.099999999999987,161.588381836304,-9.765876939728656,-9.831086905163778
8.199999999999987,160.51342547554935,-10.749563607546376,-9.836866678177199
8.299999999999986,159.34003647167745,-11.733890038719025,-9.843264311726495
8.399999999999986,158.06814465060367,-12.718918210737755,-9.85028172018729
8.499999999999986,156.69767361942445,-13.704710311792308,-9.857921010545526
8.599999999999985,155.22854074340762,-14.69132876016839,-9.866184483760831
8.699999999999985,153.66065712102818,-15.678836223794423,-9.875074636260317
8.799999999999985,151.9939275570331,-16.667295639950876,-9.884594161564523
8.899999999999984,150.22825053351752,-17.656770235155612,-9.894745952047348
8.999999999999984,148.36351817899364,-18.64732354523881,-9.90553310083198
9.099999999999984,146.39961623543152,-19.639019435621307,-9.91695890382499
9.199999999999983,144.3364240232505,-20.6319221218104,-9.92902686189094
9.299999999999983,142.17381440423776,-21.6260961901274,-9.94174068316999
9.399999999999983,139.9116537423696,-22.62160661868152,-9.955104285541196
9.499999999999982,137.5498018625091,-23.61851879860496,-9.969121799234406
9.599999999999982,135.08811200695266,-24.61689855556433,-9.983797569593701
9.699999999999982,132.52643078979628,-25.616812171563904,-9.999136159995743
9.799999999999981,129.86459814909063,-26.61832640705654,-10.01514235492637
9.89999999999998,127.10244729675279,-27.621508523378452,-10.03182116321912
9.99999999999998,124.23980466620034,-28.626426305524408,-10.049177821459558
10.09999999999998,121.2764898576723,-29.633148085280347,-10.067217797559382
10.19999999999998,118.21231558119922,-30.641742764730818,-10.085946794504714
10.29999999999998,115.0470875971833,-31.652279840159117,-10.105370754283008
10.399999999999979,111.78060465454746,-32.66482942635846,-10.125495861993391
10.499999999999979,108.41265842641016,-33.679462281373,-10.146328550145403
10.599999999999978,104.94303344324135,-34.69624983168815,-10.167875503151482
10.699999999999978,101.37150702345235,-35.715264197890015,-10.19014366201864
10.799999999999978,97.6978492013709,-36.736578220814536,-10.213140229245242
10.899999999999977,93.92182265255016,-37.76026548820743,-10.236872673928946
10.999999999999977,90.0431826163585,-38.786400361916655,-10.261348737092234
11.099999999999977,86.0616768157945,-39.815058005639884,-10.286576437232284
11.199999999999976,81.97704537446948,-40.846314413250106,-10.312564076102225
11.299999999999976,77.78902073069716,-41.88024643772322,-10.33932024473119
11.399999999999975,73.49732754862792,-42.91693182069232,-10.366853829690935
11.499999999999975,69.10168262636252,-43.95644922265404,-10.395174019617155
11.599999999999975,64.60179480097717,-44.99887825385344,-10.424290311994032
11.699999999999974,59.99736485038972,-46.044299505874534,-10.454212520210943
11.799999999999974,55.28808539199326,-47.092794583964604,-10.484950780900729
11.899999999999974,50.47364077798111,-48.14444614012153,-10.516515561569262
11.999999999999973,45.55370698728369,-49.1993379069742,-10.548917668526684
12.099999999999973,40.52795151403496,-50.2575547324873,-10.582168255130995
12.199999999999973,35.396033252482674,-51.319182615522834,-10.616278830355345
12.299999999999972,30.157602378253483,-52.384308742291914,-10.651261267690785
12.399999999999972,24.81230022588032,-53.4530215237316,-10.687127814396888
12.499999999999972,19.35975916249603,-54.525410633842924,-10.723891101113226
12.599999999999971,13.799602457593284,-55.601567049027445,-10.761564151845226
12.69999999999997,8.131444148747153,-56.681583088461316,-10.800160394338715
12.79999999999997,2.3548889031924416,-57.765552455547116,-10.839693670858011
12.89999999999997,0,0,-10.880178249383228
12.99999999999997,0,0,-9.80665
13.09999999999997,0,0,-9.80665
13.199999999999969,0,0,-9.80665
13.299999999999969,0,0,-9.80665
13.399999999999968,0,0,-9.80665
13.499999999999968,0,0,-9.80665
13.599999999999968,0,0,-9.80665
13.699999999999967,0,0,-9.80665
13.799999999999967,0,0,-9.80665
13.899999999999967,0,0,-9.80665
13.999999999999966,0,0,-9.80665
14.099999999999966,0,0,-9.80665
14.199999999999966,0,0,-9.80665
14.299999999999965,0,0,-9.80665
14.399999999999965,0,0,-9.80665
14.499999999999964,0,0,-9.80665
14.599999999999964,0,0,-9.80665
14.699999999999964,0,0,-9.80665
14.799999999999963,0,0,-9.80665
14.899999999999963,0,0,-9.80665
14.999999999999963,0,0,-9.80665
15.099999999999962,0,0,-9.80665
15.199999999999962,0,0,-9.80665
15.299999999999962,0,0,-9.80665
15.399999999999961,0,0,-9.80665
15.499999999999961,0,0,-9.80665
15.59999999999996,0,0,-9.80665
15.69999999999996,0,0,-9.80665
15.79999999999996,0,0,-9.80665
15.89999999999996,0,0,-9.80665
15.99999999999996,0,0,-9.80665
16.09999999999996,0,0,-9.80665
16.19999999999996,0,0,-9.80665
16.29999999999996,0,0,-9.80665
16.399999999999963,0,0,-9.80665
16.499999999999964,0,0,-9.80665
16.599999999999966,0,0,-9.80665
16.699999999999967,0,0,-9.80665
16.79999999999997,0,0,-9.80665
16.89999999999997,0,0,-9.80665
16.99999999999997,0,0,-9.80665
17.099999999999973,0,0,-9.80665
17.199999999999974,0,0,-9.80665
17.299999999999976,0,0,-9.80665
17.399999999999977,0,0,-9.80665
17.49999999999998,0,0,-9.80665
17.59999999999998,0,0,-9.80665
17.69999999999998,0,0,-9.80665
17.799999999999983,0,0,-9.80665
17.899999999999984,0,0,-9.80665
17.999999999999986,0,0,-9.80665
18.099999999999987,0,0,-9.80665
18.19999999999999,0,0,-9.80665
18.29999999999999,0,0,-9.80665
18.39999999999999,0,0,-9.80665
18.499999999999993,0,0,-9.80665
18.599999999999994,0,0,-9.80665
18.699999999999996,0,0,-9.80665
18.799999999999997,0,0,-9.80665
18.9,0,0,-9.80665
19.0,0,0,-9.80665
19.1,0,0,-9.80665
19.200000000000003,0,0,-9.80665
19.300000000000004,0,0,-9.80665
19.400000000000006,0,0,-9.80665
19.500000000000007,0,0,-9.80665
19.60000000000001,0,0,-9.80665
19.70000000000001,0,0,-9.80665
19.80000000000001,0,0,-9.80665
19.900000000000013,0,0,-9.80665
20.000000000000014,0,0,-9.80665
